,0,1,2,3,4,5,6
"Start-end time, sec","(9.5, 144.5)","(145.5, 445.5)","(446.5, 515.5)","(516.5, 756.5)","(757.5, 818.5)","(819.5, 900.5)","(902.5, 1055.5)"
"Time length, sec",135.0,300.0,69.0,240.0,61.0,81.0,153.0
Number of epochs,133,286,65,230,59,76,148
